name,diameter,num,focal ratio,focal length,size
iPhone 13 Pro/Pro Max,15.53,3,,,5.69
iPhone 13 ,13.69,2,,,2.95
iPhone 12 Pro Max,14.11,3,,,4.7
iPhone 12 Pro,12.45,3,,,3.66
iPhone 12,12.1,2,,,2.3
iPhone SE (gen2),8.57,1,,,0.58
iPhone 11 Pro Max,12.3,3,,,3.57
iPhone 11  ,12.1,2,,,2.3
iPhone XS Max,11.8,2,,,2.19
iPhone XR,10.93,1,,,0.94
iPhone X,11.86,2,,,2.21
iPhone 8 Plus,7.19,2,,,0.82
iPhone 8  ,8.59,1,,,0.58
iPhone 7 Plus,7.54,2,,,0.9
iPhone 7,8.57,1,,,0.58
iPhone 6s Plus,7.66,1,,,0.47
iPhone 6s  ,7.2,1,,,0.41
iPhone 6 Plus,7.66,1,,,0.47
iPhone 6,7.2,1,,,0.41
iPhone 5S/SE,6.14,1,,,0.3
iPhone 5C,5.66,1,,,0.26
iPhone 5,6.46,1,,,0.33
iPhone 4/4S,6.92,1,,,0.38
iPhone 3GS,5,1,,,0.2
iPhone 3G ,5,1,,,0.2
iPhone ,4.5,1,,,0.16