name,diameter(mm),num,focal ratio,focal length,size(cm^2)
iPhone ,4.5,1,,,0.16
3G ,5,1,,,0.2
3GS,5,1,,,0.2
4/4S,6.92,1,,,0.38
5,6.46,1,,,0.33
5C,5.66,1,,,0.26
5S/SE,6.14,1,,,0.3
6,7.2,1,,,0.41
6 Plus,7.66,1,,,0.47
6s  ,7.2,1,,,0.41
6s Plus,7.66,1,,,0.47
7,8.57,1,,,0.58
7 Plus,7.54,2,,,0.9
8,8.59,1,,,0.58
8 Plus,7.19,2,,,0.82
X,11.86,2,,,2.21
XR,10.93,1,,,0.94
XS Max,11.8,2,,,2.19
11,12.1,2,,,2.3
11 Pro Max,12.3,3,,,3.57
SE (gen2),8.57,1,,,0.58
12,12.1,2,,,2.3
12 Pro,12.45,3,,,3.66
12 Pro Max,14.11,3,,,4.7
13,13.69,2,,,2.95
13 Pro/Pro Max,15.53,3,,,5.69